s.no	worker_id	original_tableid	original_hypothesis	original_label	modified_tableid	modified_hypothesis	modified_label
0	IA0	T745	The Men's 50 kilometre freestyle at the XXII Olympic Winter Games ran for one day in February.	E	T745_mod_2	The Men's 50 kilometre freestyle at the XXII Olympic Winter Games ran for one day in February.	C
0	IA0	T1457	Jimmy Fallon has been married for over twenty years.	C	T1457_mod_4	Jimmy Fallon has been married for over twenty years.	E
0	IA1	T805	The album, Culture is just shy of an hour long.	E	T805_mod_1	The album, Culture is just shy of an hour long.	C
0	IA0	T1457	Jimmy Fallon was birthed in the Summer of 1974.	C	T1457_mod_5	Jimmy Fallon was birthed in the Summer of 1974.	E
0	IA1	T1182	Bradley Cooper was married for a year.	E	T1182_mod_2	Bradley Cooper was married for a year.	C
0	IA0	T1390	Cape Cross' sire was Green Desert and his grandsire was Danzig.	E	T1390_mod_2	Cape Cross' sire was Green Desert and his grandsire was Danzig.	C
0	IA0	T1612	Johann Nikolaus von Dreyse was born and died in the same city.	E	T1612_mod_3	Johann Nikolaus von Dreyse was born and died in the same city.	C
0	IA0	T1390	The horse Cape Cross was a male horse.	E	T1390_mod_3	The horse Cape Cross was a male horse.	C
0	IA1	T1612	Johann Nikolaus von Dreyse died in his city of birth.	E	T1612_mod_4	Johann Nikolaus von Dreyse died in his city of birth.	C
0	IA0	T1518	Jurassic Park was based on a book.	E	T1518_mod_2	Jurassic Park was based on a book.	C
0	IA0	T1665	The career of Julian Assange has been going for more than three decades.	C	T1665_mod_1	The career of Julian Assange has been going for more than three decades.	E
0	IA0	T1665	Julian Assange was married for over a decade in his first marriage.	E	T1665_mod_2	Julian Assange was married for over a decade in his first marriage.	C
0	IA0	T1586	The distance to Kappa Coronae Borealis b is over 100 light years.	E	T1586_mod_3	The distance to Kappa Coronae Borealis b is over 100 light years.	C
0	IA0	T1665	Julian Assange won more awards in 2015 than he did in 2008.	E	T1665_mod_3	Julian Assange won more awards in 2015 than he did in 2008.	C
0	IA1	T1706	Jeff Lynne has stayed with Sony BMG their whole career.	C	T1706_mod_2	Jeff Lynne has stayed with Sony BMG their whole career.	E
0	IA0	T1688	John Cyril Porte died in a different country than where he was born.	E	T1688_mod_2	John Cyril Porte died in a different country than where he was born.	C
0	IA1	T1819	Hugo has a running time of 126 minutes.	E	T1819_mod_4	Hugo has a running time of 126 minutes.	C
0	IA1	T1875	Identity Crisis was released by Marvel comics.	C	T1875_mod_2	Identity Crisis was released by Marvel comics.	E
0	IA0	T203	Over half of the people in Japan practice Folk Shinto as a religion or have no religion.	E	T203_mod_1	Over half of the people in Japan practice Folk Shinto as a religion or have no religion.	C
0	IA1	T1875	Identity Crisis was published by DC Comics.	E	T1875_mod_3	Identity Crisis was published by DC Comics.	C
0	IA0	T306	Europe has been active off and on since the 70s.	E	T306_mod_1	Europe has been active off and on since the 70s.	C
0	IA0	T348	Christina Aguilera has always lived in the city where she was born.	C	T348_mod_1	Christina Aguilera has always lived in the city where she was born.	E
0	IA0	T14	Flatliners was a film that was able to net money at the box office.	E	T14_mod_1	Flatliners was a film that was able to net money at the box office.	C
0	IA1	T14	Flatliners was a movie that was over two hours long.	C	T14_mod_2	Flatliners was a movie that was over two hours long.	E
0	IA0	T408	Karen Gillan was born in 1987.	E	T408_mod_1	Karen Gillan was born in 1987.	C
0	IA1	T137	Hawkwind was always the band's name.	C	T137_mod_1	Hawkwind was always the band's name.	E
0	IA0	T408	Karen Gilan went to a performing arts school.	E	T408_mod_2	Karen Gilan went to a performing arts school.	C
0	IA0	T323	Kingdom of Bohemia was esatablished before the Duchy of Bohemia.	C	T323_mod_1	Kingdom of Bohemia was esatablished before the Duchy of Bohemia.	E
0	IA1	T433	Concussion made more at the box office than its budget.	C	T433_mod_1	Concussion made more at the box office than its budget.	E
0	IA0	T458	Bridge is a trick-taking game.	E	T458_mod_1	Bridge is a trick-taking game.	C
0	IA0	T557	Club is a Carbonated soft drink Manufactured by Britvic Ireland	E	T557_mod_1	Club is a Carbonated soft drink Manufactured by Britvic Ireland	C
0	IA1	T816	The Curling at the XXIII Olympic Winter Games happened in february.	E	T816_mod_1	The Curling at the XXIII Olympic Winter Games happened in february.	C
0	IA1	T557	Club is an Irish soft drink.	E	T557_mod_2	Club is an Irish soft drink.	C
0	IA0	T974	The square mileage of the city of Chicago is larger than the square mileage of land.	E	T974_mod_1	The square mileage of the city of Chicago is larger than the square mileage of land.	C
0	IA0	T1131	The dominant colors of George Mason University are red and violet.	C	T1131_mod_1	The dominant colors of George Mason University are red and violet.	E
0	IA0	T738	The Cockerel FabergŽ egg is made up of several different precious gems.	E	T738_mod_1	The Cockerel FabergŽ egg is made up of several different precious gems.	C
0	IA0	T1131	George Mason University is a public university established in 1949.	E	T1131_mod_2	George Mason University is a public university established in 1949.	C
0	IA0	T738	The Cockerel FabergŽ egg is a gold and diamond infused object about half a foot tall.	E	T738_mod_2	The Cockerel FabergŽ egg is a gold and diamond infused object about half a foot tall.	C
0	IA0	T1404	Kaya Scodelario's career has spanned more a decade and a half.	C	T1404_mod_1	Kaya Scodelario's career has spanned more a decade and a half.	E
0	IA1	T1446	Jennifer Aniston resides in a different state from where she was born.	C	T1446_mod_1	Jennifer Aniston resides in a different state from where she was born.	E
0	IA1	T797	The horse Cue Card was from the United States.	C	T797_mod_1	The horse Cue Card was from the United States.	E
0	IA0	T1500	The birth of John Napier happened right at the mid point of the 16th century.	E	T1500_mod_1	The birth of John Napier happened right at the mid point of the 16th century.	C
0	IA0	T1656	Karen Gillan has been in the business for over ten years.	E	T1656_mod_1	Karen Gillan has been in the business for over ten years.	C
0	IA0	T831	Union of the Comoros has been independent for 50 years.	C	T831_mod_1	Union of the Comoros has been independent for 50 years.	E
0	IA0	T1784	Interior was completed in the 18th century.	E	T1784_mod_1	Interior was completed in the 18th century.	C
0	IA0	T1888	Huntinyon Beach council has seven members.	E	T1888_mod_1	Huntinyon Beach council has seven members.	C
0	IA1	T1311	Royal Society of Edinburgh has over 1600 fellow members.	E	T1311_mod_1	Royal Society of Edinburgh has over 1600 fellow members.	C
0	IA0	T1888	Robin Estanislau is the city clerk in Huntington Beach, California.	E	T1888_mod_2	Robin Estanislau is the city clerk in Huntington Beach, California.	C
0	IA1	T1436	Kate Micucci got married when they were 38 years old.	E	T1436_mod_1	Kate Micucci got married when they were 38 years old.	C
0	IA0	T20	The rappers Flatbush Zombies got their start on the east coast.	E	T20_mod_2	The rappers Flatbush Zombies got their start on the east coast.	C
0	IA0	T1436	Kate Micucci has been performing since she was in her teens.	C	T1436_mod_2	Kate Micucci has been performing since she was in her teens.	E
0	IA0	T20	Flatbush Zombies have made music for over five years now.	E	T20_mod_3	Flatbush Zombies have made music for over five years now.	C
0	IA0	T1464	John James Rickard Macleod, FRS faced death in the Spring of 1935.	E	T1464_mod_1	John James Rickard Macleod, FRS faced death in the Spring of 1935.	C
0	IA0	T152	Jane Austen had a college degree.	C	T152_mod_2	Jane Austen had a college degree.	E
0	IA1	T1562	The Summer of 2018 is when Jun-ichi Nishizawa died.	C	T1562_mod_1	The Summer of 2018 is when Jun-ichi Nishizawa died.	E
0	IA0	T403	John Harrison was born and died in the same country.	E	T403_mod_3	John Harrison was born and died in the same country.	C
0	IA0	T1562	Jun-ichi Nishizawa worked at various universities.	E	T1562_mod_2	Jun-ichi Nishizawa worked at various universities.	C
0	IA1	T440	Sebasti‡n Pi–era is suboordinate to Maya Fern‡ndez.	C	T440_mod_2	Sebasti‡n Pi–era is suboordinate to Maya Fern‡ndez.	E
0	IA0	T1713	John Cho was born in the 20th century.	E	T1713_mod_1	John Cho was born in the 20th century.	C
0	IA1	T440	The Republic of Chile speaks English as their native language.	C	T440_mod_3	The Republic of Chile speaks English as their native language.	E
0	IA0	T1847	Jack Antonoff was born in the spring.	E	T1847_mod_1	Jack Antonoff was born in the spring.	C
0	IA0	T544	Despicable Me 3 was shown at Annecy two weeks before it's nationwide release.	E	T544_mod_2	Despicable Me 3 was shown at Annecy two weeks before it's nationwide release.	C
0	IA0	T2028	Simon Pegg wrote, directed and starred in Hot Fuzz.	C	T2028_mod_1	Simon Pegg wrote, directed and starred in Hot Fuzz.	E
0	IA0	T13	The album Fearless was over an hour in length.	C	T13_mod_2	The album Fearless was over an hour in length.	E
0	IA1	T680	Camp Kill Yourself is from West Chester, Pennsylvania.	E	T680_mod_2	Camp Kill Yourself is from West Chester, Pennsylvania.	C
0	IA0	T761	Code Orange has been performing for a decade.	C	T761_mod_3	Code Orange has been performing for a decade.	E
0	IA0	T13	Fearless is over 50 minutes in length.	E	T13_mod_3	Fearless is over 50 minutes in length.	C
0	IA0	T983	Camilla Rosemary Shand has been married twice.	E	T983_mod_1	Camilla Rosemary Shand has been married twice.	C
0	IA0	T983	Camilla committed polygamy when marrying Charles, Prince of Wales.	C	T983_mod_2	Camilla committed polygamy when marrying Charles, Prince of Wales.	E
0	IA1	T104	The E Street Band is from the west coast of U.S..	E	T104_mod_2	The E Street Band is from the west coast of U.S..	C
0	IA1	T983	Camilla Rosemary Shand married Prince Charles after her divorce from Andrew Parker Bowles.	E	T983_mod_3	Camilla Rosemary Shand married Prince Charles after her divorce from Andrew Parker Bowles.	C
0	IA1	T104	The E Street Band was formed on the East Coast.	E	T104_mod_3	The E Street Band was formed on the East Coast.	C
0	IA0	T1267	Birth name of Brandon Flowers is Brandon Richard Flowers and he was born on June 21, 1981.	E	T1267_mod_3	Birth name of Brandon Flowers is Brandon Richard Flowers and he was born on June 21, 1981.	C
0	IA0	T1267	Brandon Flowers can not play any instruments and is associated with Vertigo label only.	C	T1267_mod_4	Brandon Flowers can not play any instruments and is associated with Vertigo label only.	E
0	IA0	T720	David Bowie is an album that was recorded in London.	E	T720_mod_3	David Bowie is an album that was recorded in London.	C
0	IA1	T1412	Johnny the Homicidal Maniac was produced in the 90s.	E	T1412_mod_1	Johnny the Homicidal Maniac was produced in the 90s.	C
0	IA0	T720	David Bowie's self-titled album was recorded during two different years.	E	T720_mod_4	David Bowie's self-titled album was recorded during two different years.	C
0	IA0	T1503	Jim Belushi started his career in his teens.	C	T1503_mod_2	Jim Belushi started his career in his teens.	E
0	IA0	T1550	J?rgen Skafte Rasmussen was born and died in the same country.	E	T1550_mod_3	J?rgen Skafte Rasmussen was born and died in the same country.	C
0	IA0	T1550	J?rgen Skafte Rasmussen only worked as an Engineer.	C	T1550_mod_4	J?rgen Skafte Rasmussen only worked as an Engineer.	E
0	IA0	T1601	Jimmy Eat World is from the state of Arizona.	E	T1601_mod_1	Jimmy Eat World is from the state of Arizona.	C
0	IA0	T1601	Emo pop group, Jimmy Eat World is from the southwest United States.	E	T1601_mod_2	Emo pop group, Jimmy Eat World is from the southwest United States.	C
0	IA0	T1664	Jessie J started her career in her twenties.	C	T1664_mod_3	Jessie J started her career in her twenties.	E
0	IA0	T746	There are more male cross-country skiing events held than women's at the Olympic games.	C	T746_mod_2	There are more male cross-country skiing events held than women's at the Olympic games.	E
0	IA1	T1664	Jessie J has been performing for over ten years.	E	T1664_mod_4	Jessie J has been performing for over ten years.	C
0	IA1	T1791	Huddersfield Ben is a type of terrier.	E	T1791_mod_2	Huddersfield Ben is a type of terrier.	C
0	IA0	T947	Christians make up the smallest religious group in Botswana.	C	T947_mod_3	Christians make up the smallest religious group in Botswana.	E
0	IA0	T947	Republic of Botswana, run under a unitary parliament, has a president and a vice-president.	E	T947_mod_4	Republic of Botswana, run under a unitary parliament, has a president and a vice-president.	C
0	IA1	T1791	Huddersfield Ben was a labrador retriever.	C	T1791_mod_3	Huddersfield Ben was a labrador retriever.	E
0	IA0	T1212	Glacier National Park has more acres than 2018 visitors.	C	T1212_mod_4	Glacier National Park has more acres than 2018 visitors.	E
0	IA1	T1444	Kasabian has been performing for over twenty years.	E	T1444_mod_1	Kasabian has been performing for over twenty years.	C
0	IA1	T1918	Hypatia died in the spring time.	E	T1918_mod_1	Hypatia died in the spring time.	C
0	IA0	T1444	Kasabian is known for playing jazz music.	C	T1444_mod_2	Kasabian is known for playing jazz music.	E
0	IA0	T1491	Judith and the Head of Holofernes is less than a foot and a half wide at it's narrower point.	E	T1491_mod_2	Judith and the Head of Holofernes is less than a foot and a half wide at it's narrower point.	C
0	IA0	T64	Equestrian Portrait of Charles I is less than 100 inches wide.	C	T64_mod_1	Equestrian Portrait of Charles I is less than 100 inches wide.	E
0	IA0	T1491	Judith and the Head of Holofernes was painted at the end of the 19th century.	C	T1491_mod_3	Judith and the Head of Holofernes was painted at the end of the 19th century.	E
0	IA0	T64	Equestrian Portrait of Charles I was painted in the 17th century.	E	T64_mod_2	Equestrian Portrait of Charles I was painted in the 17th century.	C
0	IA0	T1592	The film was not profitable for 20th Century Fox	C	T1592_mod_3	The film was not profitable for 20th Century Fox	E
0	IA0	T1635	The Spring of 2015 is when Kauto Star died.	C	T1635_mod_1	The Spring of 2015 is when Kauto Star died.	E
0	IA0	T1690	Jinder Mahal has been professionally wrestling for over fifteen years.	E	T1690_mod_2	Jinder Mahal has been professionally wrestling for over fifteen years.	C
0	IA0	T203	Japan is made up of between 90 and 95% Japanese people.	C	T203_mod_2	Japan is made up of between 90 and 95% Japanese people.	E
0	IA1	T1768	Iced Earth is a power metal band.	E	T1768_mod_3	Iced Earth is a power metal band.	C
0	IA1	T203	The capital of Japan is located in Tokyo.	E	T203_mod_3	The capital of Japan is located in Tokyo.	C
0	IA0	T1882	Jack of Fables is published on a monthly schedule.	E	T1882_mod_1	Jack of Fables is published on a monthly schedule.	C
0	IA0	T306	Europe is originally from a northern European country.	E	T306_mod_2	Europe is originally from a northern European country.	C
0	IA0	T348	Jordan Bratman divorced Christina Aguilera after two years together.	C	T348_mod_2	Jordan Bratman divorced Christina Aguilera after two years together.	E
0	IA0	T12	Faroe Islands only has one official language.	C	T12_mod_2	Faroe Islands only has one official language.	E
0	IA0	T408	Karen Gilan has been performing since she was a five years old.	C	T408_mod_3	Karen Gilan has been performing since she was a five years old.	E
0	IA0	T12	Aksel V. Johannesen serves in the Faroe Islands government.	E	T12_mod_3	Aksel V. Johannesen serves in the Faroe Islands government.	C
0	IA1	T458	The game Contract bridge is often played in a group of people.	E	T458_mod_2	The game Contract bridge is often played in a group of people.	C
0	IA0	T370	Everclear's music can only be categorized into a single genre.	C	T370_mod_2	Everclear's music can only be categorized into a single genre.	E
0	IA0	T702	The Romans settled London several years after the Wessex's.	C	T702_mod_1	The Romans settled London several years after the Wessex's.	E
0	IA0	T370	Everclear are from the Pacific Northwest region of the United States.	E	T370_mod_3	Everclear are from the Pacific Northwest region of the United States.	C
0	IA1	T738	The Cockerel FabergŽ egg is over a foot tall.	C	T738_mod_3	The Cockerel FabergŽ egg is over a foot tall.	E
0	IA0	T534	C?OC has been on the market for over fifteen years.	E	T534_mod_2	C?OC has been on the market for over fifteen years.	C
0	IA1	T797	The horse Cue Card made over a million pounds at races.	E	T797_mod_2	The horse Cue Card made over a million pounds at races.	C
0	IA0	T797	Cue Card made just under £1,000,000 in earnings in the horse's racing career.	C	T797_mod_3	Cue Card made just under £1,000,000 in earnings in the horse's racing career.	E
0	IA0	T745	The winner of the Men's 50 kilometre freestyle at the XXII Olympic Winter Games finished with a time just over 2 minutes.	C	T745_mod_3	The winner of the Men's 50 kilometre freestyle at the XXII Olympic Winter Games finished with a time just over 2 minutes.	E
0	IA0	T787	Cuba is mostly Black with White people making up the 2nd largest ethnic group.	C	T787_mod_3	Cuba is mostly Black with White people making up the 2nd largest ethnic group.	E
0	IA0	T787	The Republic of Cuba has only a single official language.	E	T787_mod_4	The Republic of Cuba has only a single official language.	C
0	IA0	T831	The Union of the Comoros adopted a constitution in 2009.	E	T831_mod_2	The Union of the Comoros adopted a constitution in 2009.	C
0	IA0	T940	Bruges has more area codes than postal codes.	C	T940_mod_2	Bruges has more area codes than postal codes.	E
0	IA0	T910	Catania has over 325,000 people in it.	C	T910_mod_1	Catania has over 325,000 people in it.	E
0	IA0	T940	Bruges has four postal codes.	E	T940_mod_3	Bruges has four postal codes.	C
0	IA0	T910	Catania is a city of several hundred thousand people.	E	T910_mod_2	Catania is a city of several hundred thousand people.	C
0	IA1	T1010	Caravaggio's Boy Peeling Fruit is over three feet wide.	C	T1010_mod_1	Caravaggio's Boy Peeling Fruit is over three feet wide.	E
0	IA0	T1477	The Summer of 1977 is when Kanye West was born.	E	T1477_mod_1	The Summer of 1977 is when Kanye West was born.	C
0	IA1	T1477	Kanye West is worth more than a third of a billion dollars.	C	T1477_mod_2	Kanye West is worth more than a third of a billion dollars.	E
0	IA0	T1518	Jurassic Park's run time is less than two hours.	C	T1518_mod_3	Jurassic Park's run time is less than two hours.	E
0	IA1	T1311	Royal Society of Edinburgh has focus only on Science and technology.	C	T1311_mod_2	Royal Society of Edinburgh has focus only on Science and technology.	E
0	IA0	T1518	The Summer of 1993 is when Jurassic Park first made it's premiere.	E	T1518_mod_4	The Summer of 1993 is when Jurassic Park first made it's premiere.	C
0	IA1	T1730	Jon Hamm graduated from the University of his home state.	E	T1730_mod_1	Jon Hamm graduated from the University of his home state.	C
0	IA0	T1311	The Royal Society of Edinburgh has more founders than focuses.	C	T1311_mod_3	The Royal Society of Edinburgh has more founders than focuses.	E
0	IA0	T1436	Kate Micucci got married when she was in her 30s.	E	T1436_mod_3	Kate Micucci got married when she was in her 30s.	C
0	IA0	T1730	Jon Hamm has been active for more than 25 years.	C	T1730_mod_2	Jon Hamm has been active for more than 25 years.	E
0	IA0	T1562	The  IEEE Edison Medal was awarded to Jun-ichi Nishizawa in his 70s.	E	T1562_mod_3	The  IEEE Edison Medal was awarded to Jun-ichi Nishizawa in his 70s.	C
0	IA1	T20	Flatbush Zombies have been active as a band for over 10 years.	C	T20_mod_4	Flatbush Zombies have been active as a band for over 10 years.	E
0	IA1	T1614	John Paul Getty III was kidnapped during his lifetime.	E	T1614_mod_1	John Paul Getty III was kidnapped during his lifetime.	C
0	IA1	T152	Jane Austen was born in England.	E	T152_mod_3	Jane Austen was born in England.	C
0	IA1	T332	Park Jae-beom practices more genres than the number of labels he has been on.	C	T332_mod_2	Park Jae-beom practices more genres than the number of labels he has been on.	E
0	IA0	T1713	John Cho has been active since his teens.	C	T1713_mod_2	John Cho has been active since his teens.	E
0	IA0	T332	Park Jae-beom was born in Edmonds, Washington.	E	T332_mod_3	Park Jae-beom was born in Edmonds, Washington.	C
0	IA0	T1847	Jack Antonoff has been active since his teens.	E	T1847_mod_2	Jack Antonoff has been active since his teens.	C
0	IA1	T1847	Jack Antonoff was born in NJ	E	T1847_mod_3	Jack Antonoff was born in NJ	C
0	IA0	T12	The Faroe Islands has more than one official language.	E	T12_mod_4	The Faroe Islands has more than one official language.	C
0	IA1	T403	John Harrison was born in England's capital.	C	T403_mod_4	John Harrison was born in England's capital.	E
0	IA0	T440	The Republic of Chile President is a woman.	C	T440_mod_4	The Republic of Chile President is a woman.	E
0	IA0	T74	Katharine McPhee has been with over 7 record labels.	C	T74_mod_3	Katharine McPhee has been with over 7 record labels.	E
0	IA0	T261	The Jin dynasty capital moved around to different cities.	E	T261_mod_2	The Jin dynasty capital moved around to different cities.	C
0	IA1	T761	Code Orange is an American punk and metalcore band.	E	T761_mod_4	Code Orange is an American punk and metalcore band.	C
0	IA0	T310	Christchurch is made up of wards and governed by a council.	E	T310_mod_1	Christchurch is made up of wards and governed by a council.	C
0	IA0	T416	Johnny Depp has been married twice.	E	T416_mod_2	Johnny Depp has been married twice.	C
0	IA0	T885	Caracas' metro area is more than ten times its city size.	E	T885_mod_1	Caracas' metro area is more than ten times its city size.	C
0	IA0	T534	C?OC is a two-decade old brand.	C	T534_mod_3	C?OC is a two-decade old brand.	E
0	IA0	T1148	Britney Spears was born and raised in the midwest.	C	T1148_mod_3	Britney Spears was born and raised in the midwest.	E
0	IA0	T1456	The orbital speed of Jupiter is less than 5 km/s.	C	T1456_mod_2	The orbital speed of Jupiter is less than 5 km/s.	E
0	IA0	T534	CIRCO HAD MORE THAN TWENTY FIVE VARIANTS	C	T534_mod_4	CIRCO HAD MORE THAN TWENTY FIVE VARIANTS	E
0	IA1	T1456	Jupiter has more than a dozen known satellites.	E	T1456_mod_3	Jupiter has more than a dozen known satellites.	C
0	IA1	T719	Cristiano Ronaldo is shorter than 6 feet tall.	C	T719_mod_2	Cristiano Ronaldo is shorter than 6 feet tall.	E
0	IA1	T1456	The inclination of Jupiter to the Sun's equator is greater than half a dozen degrees.	E	T1456_mod_4	The inclination of Jupiter to the Sun's equator is greater than half a dozen degrees.	C
0	IA0	T1503	Jim Belushi has had three wives.	E	T1503_mod_3	Jim Belushi has had three wives.	C
0	IA0	T719	Cristiano Ronaldo plays an offensive position rather than defensive.	E	T719_mod_3	Cristiano Ronaldo plays an offensive position rather than defensive.	C
0	IA1	T1503	Jim Belushi is an entertainer.	E	T1503_mod_4	Jim Belushi is an entertainer.	C
0	IA1	T719	Cristiano Ronaldo is a British Millenial.	C	T719_mod_4	Cristiano Ronaldo is a British Millenial.	E
0	IA0	T1550	J?rgen Skafte Rasmussen had the same nationality of where he was born.	E	T1550_mod_5	J?rgen Skafte Rasmussen had the same nationality of where he was born.	C
0	IA0	T1601	Jimmy Eat World has been making music for more than 25 years.	E	T1601_mod_3	Jimmy Eat World has been making music for more than 25 years.	C
0	IA0	T1601	Jimmy Eat World was started in the South Eastern part of the US.	C	T1601_mod_4	Jimmy Eat World was started in the South Eastern part of the US.	E
0	IA0	T1664	Jessie J has had an active career for over a decade.	E	T1664_mod_5	Jessie J has had an active career for over a decade.	C
0	IA1	T1791	Huddersfield Ben was alive for six years.	E	T1791_mod_4	Huddersfield Ben was alive for six years.	C
0	IA1	T1791	Huddersfield Ben was a Yorkshire Terrier.	E	T1791_mod_5	Huddersfield Ben was a Yorkshire Terrier.	C
0	IA1	T1918	Hypatia was born and died in Europe.	C	T1918_mod_2	Hypatia was born and died in Europe.	E
0	IA1	T14	Flatliners is pretty close to two hours long.	E	T14_mod_3	Flatliners is pretty close to two hours long.	C
0	IA0	T433	Concussion is an American film.	E	T433_mod_2	Concussion is an American film.	C
0	IA0	T536	Denver, Colorado was founded and incorporated within a decade of each other	C	T536_mod_1	Denver, Colorado was founded and incorporated within a decade of each other	E
0	IA1	T662	Detroit's urban area is bigger than the metro area.	C	T662_mod_1	Detroit's urban area is bigger than the metro area.	E
0	IA1	T749	The comic Crossed was published for under two years.	E	T749_mod_1	The comic Crossed was published for under two years.	C
0	IA0	T791	The fire in Club Colectiv suspects list contain at least one politician.	E	T791_mod_1	The fire in Club Colectiv suspects list contain at least one politician.	C
0	IA1	T1784	Interior is a 19th century work of art.	E	T1784_mod_2	Interior is a 19th century work of art.	C
0	IA0	T777	David Packouz never owned a business.	C	T777_mod_2	David Packouz never owned a business.	E
0	IA1	T1449	Kareem Abdul-Jabbar played basketball professionally in the same state he went to high school.	C	T1449_mod_1	Kareem Abdul-Jabbar played basketball professionally in the same state he went to high school.	E
0	IA1	T1406	Kazakh Khanate was disestablished at the turn of the 19th century.	E	T1406_mod_1	Kazakh Khanate was disestablished at the turn of the 19th century.	C
0	IA0	T536	Denver was founded by a local group of miners in 1848.	C	T536_mod_2	Denver was founded by a local group of miners in 1848.	E
0	IA0	T1456	The orbital period of Jupiter is more than 12 times as long as Earth's.	C	T1456_mod_5	The orbital period of Jupiter is more than 12 times as long as Earth's.	E
0	IA1	T885	Caracas' city is at sea level.	C	T885_mod_2	Caracas' city is at sea level.	E
0	IA0	T983	Camilla Rosemary Shand has had more marriages than children.	C	T983_mod_4	Camilla Rosemary Shand has had more marriages than children.	E
0	IA0	T440	Spanish is the national language in Santiago.	E	T440_mod_5	Spanish is the national language in Santiago.	C
0	IA0	T1544	Johnny Cash was in his seventies when he died.	E	T1544_mod_1	Johnny Cash was in his seventies when he died.	C
0	IA1	T1512	John McCain had his first political victory in the 90s.	E	T1512_mod_1	John McCain had his first political victory in the 90s.	C
0	IA0	T64	The Equestrian Portrait of Charles I was completed by Anthony van Dyck.	E	T64_mod_3	The Equestrian Portrait of Charles I was completed by Anthony van Dyck.	C
0	IA0	T544	Despicable Me 3 was a box office disappointment.	C	T544_mod_3	Despicable Me 3 was a box office disappointment.	E
0	IA0	T733	Coca-Cola with Lime/Diet Coke with Citrus Zest contained an actual wedge of lime.	C	T733_mod_2	Coca-Cola with Lime/Diet Coke with Citrus Zest contained an actual wedge of lime.	E
0	IA1	T947	There are more who practice the African traditional religion than the Christian religion in the Republic of Botswana.	C	T947_mod_5	There are more who practice the African traditional religion than the Christian religion in the Republic of Botswana.	E
0	IA0	T1508	Josta is a drink that was popular in the 1990s.	E	T1508_mod_3	Josta is a drink that was popular in the 1990s.	C
0	IA1	T1702	PepsiCo has stuck to its original formula for Kas with no changes.	C	T1702_mod_3	PepsiCo has stuck to its original formula for Kas with no changes.	E
0	IA1	T1412	Johnny the Homicidal Maniac came out once a month.	E	T1412_mod_2	Johnny the Homicidal Maniac came out once a month.	C
0	IA1	T1241	Atari 2600 was sold only domestically.	C	T1241_mod_1	Atari 2600 was sold only domestically.	E
0	IA1	T1010	Boy Peeling Fruit  is a mural painted on the ceiling of a church.	C	T1010_mod_2	Boy Peeling Fruit  is a mural painted on the ceiling of a church.	E
0	IA1	T554	Danehill is a famous racehorse from the United States.	E	T554_mod_3	Danehill is a famous racehorse from the United States.	C
0	IA1	T1847	Jack Antonoff has been performing for over twenty years.	C	T1847_mod_4	Jack Antonoff has been performing for over twenty years.	E
0	IA0	T787	The Republic of Cuba is a country located in the Northern Hemisphere.	E	T787_mod_5	The Republic of Cuba is a country located in the Northern Hemisphere.	C
0	IA1	T1545	Jim Mattis served over fifty years in the military.	C	T1545_mod_1	Jim Mattis served over fifty years in the military.	E
0	IA0	T1031	Case Closed was a long-running Japanese comic serial.	C	T1031_mod_1	Case Closed was a long-running Japanese comic serial.	E
0	IA0	T1788	Issa Album was a collaborative effort between multiple hip-hop producers.	E	T1788_mod_1	Issa Album was a collaborative effort between multiple hip-hop producers.	C
0	IA1	T680	Camp Kill Yourself has been signed to Universal and Paramount.	C	T680_mod_3	Camp Kill Yourself has been signed to Universal and Paramount.	E
0	IA0	T885	Caracas is a a capital city a few thousand feet above sea level.	E	T885_mod_3	Caracas is a a capital city a few thousand feet above sea level.	C
0	IA1	T2028	Working Title Films was made in German.	C	T2028_mod_2	Working Title Films was made in German.	E
0	IA0	T1942	Jacques Charles was known for his work in science.	E	T1942_mod_2	Jacques Charles was known for his work in science.	C
0	IA1	T1177	Norwegian Air Shuttle is focused out of Queens, New York.	E	T1177_mod_1	Norwegian Air Shuttle is focused out of Queens, New York.	C
0	IA1	T1449	Kareem Abdul-Jabbar played basketball for over four decades.	C	T1449_mod_2	Kareem Abdul-Jabbar played basketball for over four decades.	E
0	IA0	T899	Chengdu is a provincial city that sits around 1,600 feet in the air.	E	T899_mod_2	Chengdu is a provincial city that sits around 1,600 feet in the air.	C
0	IA0	T1861	Iceland got sovereignty in 1904.	E	T1861_mod_4	Iceland got sovereignty in 1904.	C
0	IA1	T413	Justus von Liebig studied and taught chemistry in their life.	E	T413_mod_4	Justus von Liebig studied and taught chemistry in their life.	C
0	IA1	T1017	Casablanca was edited and written by Humphrey Bogart.	C	T1017_mod_2	Casablanca was edited and written by Humphrey Bogart.	E
0	IA0	T1888	Huntington Beach, California has no city manager.	C	T1888_mod_3	Huntington Beach, California has no city manager.	E
0	IA1	T272	The musician Chet Baker primarily played Jazz music.	E	T272_mod_2	The musician Chet Baker primarily played Jazz music.	C
0	IA0	T1656	Karen Gillan is a performer in her late 30s.	C	T1656_mod_2	Karen Gillan is a performer in her late 30s.	E
0	IA0	T2028	Working Title Films was released in the United Kingdom before anywhere else.	E	T2028_mod_3	Working Title Films was released in the United Kingdom before anywhere else.	C
